model,timesteps,mean_score,max_score,min_score,mean_reward,mean_fires,mean_steps,mean_hit_rate,eval_episodes,action6_used
A2C,25000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,50000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,75000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,100000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,125000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,150000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,175000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,200000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,225000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,250000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,275000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,300000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,325000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,350000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,375000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,400000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,425000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,450000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,475000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,500000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,525000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,550000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,575000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,600000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,625000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,650000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,675000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,700000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,725000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,750000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
A2C,775000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
